id,name,category,chemical_formula,color,hardness_mohs,luster,streak,cleavage,fracture,specific_gravity,crystal_system,formation_type,primary_elements,purity_percentage,quality_grade,commercial_value,industrial_uses,mining_region,market_value_usd_per_ton,extraction_difficulty,environmental_impact
1,Hematite,ore,Fe2O3,red-brown,5.5,metallic,red-brown,none,uneven,5.3,trigonal,sedimentary,"Fe,O",97,A1,premium,"steel production,pigments,paints",Pilbara Australia,120,easy,moderate
2,Hematite,ore,Fe2O3,silver-gray,5.5,metallic,red-brown,none,uneven,5.3,trigonal,sedimentary,"Fe,O",88,A2,premium,steel production,Carajas Brazil,95,easy,moderate
3,Hematite,ore,Fe2O3,dark-brown,5.5,submetallic,red-brown,none,uneven,5.1,trigonal,sedimentary,"Fe,O",72,B1,high,steel production,Labrador Canada,70,easy,moderate
4,Hematite,ore,Fe2O3,brown,5.5,dull,red-brown,none,uneven,4.8,trigonal,sedimentary,"Fe,O",52,B3,low,low-grade steel,Lorraine France,45,moderate,moderate
5,Hematite,ore,Fe2O3,pale-brown,5.0,dull,red,none,uneven,4.5,trigonal,sedimentary,"Fe,O",38,C1,low,processing feed,Alabama USA,28,moderate,moderate
6,Magnetite,ore,Fe3O4,black,6,metallic,black,none,uneven,5.2,cubic,igneous,"Fe,O",98,A1,premium,"steel production,magnets",Kiruna Sweden,130,easy,low
7,Magnetite,ore,Fe3O4,black,6,metallic,black,none,uneven,5.2,cubic,igneous,"Fe,O",87,A2,premium,steel production,Iron Mountain USA,105,easy,low
8,Magnetite,ore,Fe3O4,dark-gray,6,submetallic,black,none,uneven,5.0,cubic,igneous,"Fe,O",68,B1,medium,steel production,Urals Russia,72,moderate,moderate
9,Magnetite,ore,Fe3O4,gray,6,dull,black,none,uneven,4.7,cubic,igneous,"Fe,O",42,C1,low,processing feed,Ontario Canada,38,moderate,moderate
10,Limonite,ore,FeO(OH),yellow-brown,5,dull,yellow-brown,none,uneven,3.8,amorphous,sedimentary,"Fe,O,H",62,B2,medium,"iron pigment,steel",Lorraine France,48,moderate,low
11,Limonite,ore,FeO(OH),brown,5,dull,yellow,none,uneven,3.6,amorphous,sedimentary,"Fe,O,H",48,B3,low,iron pigment,Queensland Australia,32,moderate,low
12,Limonite,ore,FeO(OH),yellow,4.5,dull,yellow,none,uneven,3.4,amorphous,sedimentary,"Fe,O,H",35,C1,low,low-grade processing,Cuba,22,difficult,low
